Timestamp,Age Group ,  Please select your professional status   ,which city/country you present live in?,How often do you travel in a year?*,Preferred travel style ? ,What type of destinations do you prefer? ,Your typical travel budget per trip (₹) ? ,  Which season do you usually prefer for travel?  ,"If you travel within India, which zone do you prefer the most?  ( You can select multiple) ",Which mode of transport do you usually prefer while traveling?  ,How many days in advance do you usually plan your trips?,What are your top 3 travel planning difficulties?  ,When do you usually travel?,How many days do you usually travel per trip?,Column 15,How should your assistant talk to you?  *,Would you use an AI assistant to plan your trip?  *,How many tourist spots do you visit in one trip?,What additional features or services would you like from a travel assistant?  ,  How stressful do you usually find planning a trip?  ,  Which region would you most like to travel to?  ,Column 21,"On a scale of 1 to 5, how stressful do you find travel planning?  ",Column 21
7/24/2025 12:46:29,20-25,Student,Khammam ,Rarely,Friends trip,Historical places,"₹5,000–₹10,000",Winter,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Itinerary planning, Booking hotels/flights, Budgeting",School/College holidays or family vacations,1–2 days,,Friendly & fun,May be,1-3,,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:49:40,20-25,Student,Khammam,Rarely,Friends trip,"Historical places, Wildlife/Nature","₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Itinerary planning, Booking hotels/flights, Budgeting",School/College holidays or family vacations,1–2 days,,Friendly & fun,May be,1-3,,1 – Not stressful at all,India,,,
7/24/2025 12:58:19,20-25,Student,Bhadradri kothagudem ,Rarely,Friends trip,Historical places,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,Budgeting,During festivals or long weekends,3–5 days,,Friendly & fun,Yes,1-3,,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 12:58:54,20-25,Student," Ragundhapalem Khammam, india ",Once in a year,Friends trip,Beaches,"₹5,000–₹10,000",Winter,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat)",Flight,5 days,"Booking hotels/flights, Budgeting, Language barrier",School/College holidays or family vacations,3–5 days,,Friendly & fun,Yes,1-3,Security ,1 – Not stressful at all,"Oceania -Australia, New Zealand, Fiji",,,
7/24/2025 12:59:58,20-25,Student,,Rarely,Friends trip,Historical places,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,Budgeting,During festivals or long weekends,3–5 days,,Friendly & fun,Yes,1-3,,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 13:00:23,20-25,Unemployed / Not Currently Working,Khammam,Rarely,Solo trip,Mountains,"₹10,000–₹30,000",Winter,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi)",Car,30 days,"Booking hotels/flights, Budgeting, Packing",During festivals or long weekends,3–5 days,,Friendly & fun,Yes,1-3,,4 – Very stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 13:04:35,20-25,Unemployed / Not Currently Working,Madhira ,2-3 times,Family vacation,"Historical places, Wildlife/Nature","₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,15 days,Booking hotels/flights,School/College holidays or family vacations,3–5 days,,Friendly & fun,May be,1-3,,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 13:07:03,20-25,Unemployed / Not Currently Working,Khammam ,Rarely,Family vacation,"Beaches, Wildlife/Nature","₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat)",Train,5 days,"Itinerary planning, Budgeting, Language barrier",School/College holidays or family vacations,3–5 days,,Detailed & informative,May be,1-3,Give each information about trip like a guide,2 – Slightly stressful,India ,,,
7/24/2025 13:11:28,20-25,Employed (Working Professional),Ongole/INDIA,4 or more,Solo trip,"Beaches, Mountains, Historical places, Wildlife/Nature","₹5,000–₹10,000",Summer,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat)",Car,5 days,"Budgeting, Packing",Business or work-related trips,1–2 days,,Friendly & fun,Yes,1-3,Should able to speak in native language  and should able to find near by locations also,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 13:16:59,20-25,Student,Khammam ,4 or more,Friends trip,Wildlife/Nature,"₹5,000–₹10,000",Winter,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat)",Car,5 days,"Booking hotels/flights, Packing, Language barrier",Weekends,3–5 days,,Friendly & fun,Yes,3-6,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 13:21:23,20-25,Student,Hyderabad ,Rarely,Solo trip,Mountains,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Itinerary planning, Packing, Language barrier",During festivals or long weekends,3–5 days,,Short & clear,NO,1-3,,2 – Slightly stressful,"Europe - France, Italy, Germany, Switzerland",,,
7/24/2025 13:33:25,20-25,Student,Khammam ,2-3 times,Family vacation,Historical places,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,30 days,Booking hotels/flights,School/College holidays or family vacations,3–5 days,,Short & clear,NO,1-3,Suggestion ,1 – Not stressful at all,Indian devotional ,,,
7/24/2025 13:33:49,15-20,Student,Khammam,2-3 times,Family vacation,"Beaches, Historical places","₹10,000–₹30,000",Winter,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Flight,5 days,"Booking hotels/flights, Budgeting, Language barrier",Weekends,6–9 days,,Friendly & fun,Yes,10+,,1 – Not stressful at all,"Oceania -Australia, New Zealand, Fiji",,,
7/24/2025 13:36:06,20-25,Employed (Working Professional),India,Once in a year,Solo trip,Beaches,"₹10,000–₹30,000",Winter,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi)",Flight,5 days,Booking hotels/flights,Weekends,1–2 days,,Short & clear,Yes,1-3,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 13:43:20,20-25,Student,Khammam ,Rarely,Solo trip,"Mountains, Wildlife/Nature","₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Car,5 days,"Itinerary planning, Booking hotels/flights, Language barrier",School/College holidays or family vacations,1–2 days,,Friendly & fun,Yes,3-6,,3 – Moderately stressful,"Europe - France, Italy, Germany, Switzerland",,,
7/24/2025 13:54:40,20-25,Student,India,4 or more,Solo trip,"Beaches, Mountains, Historical places, Wildlife/Nature","₹30,000–₹60,000",Winter,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat), East/Northeast India (e.g., Assam, Sikkim, Meghalaya, Odisha)",Bus,15 days,"Budgeting, Packing, Language barrier",During festivals or long weekends,6–9 days,,Detailed & informative,May be,6-10,More detailed planning ,1 – Not stressful at all,"Europe - France, Italy, Germany, Switzerland",,,
7/24/2025 14:19:29,25-35,Employed (Working Professional),India ,2-3 times,Friends trip,"Beaches, Mountains, Historical places, Wildlife/Nature","₹5,000–₹10,000",Any season,"East/Northeast India (e.g., Assam, Sikkim, Meghalaya, Odisha)",Train,5 days,"Itinerary planning, Booking hotels/flights, Language barrier",Weekends,3–5 days,,Friendly & fun,Yes,1-3,Honesty,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 14:34:26,20-25,Student,Khammam ,4 or more,Solo trip,"Beaches, Historical places, Wildlife/Nature","₹10,000–₹30,000",Any season,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat), East/Northeast India (e.g., Assam, Sikkim, Meghalaya, Odisha)",Bus,5 days,"Itinerary planning, Booking hotels/flights, Budgeting, Packing, Language barrier",During festivals or long weekends,3–5 days,,Friendly & fun,Yes,3-6,Yes ,3 – Moderately stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 14:45:09,15-20,Student,Machiriyal ,Once in a year,Friends trip,Beaches,"₹5,000–₹10,000",Summer,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi)",Flight,5 days,"Itinerary planning, Booking hotels/flights, Budgeting",Business or work-related trips,1–2 days,,Friendly & fun,Yes,1-3,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 14:52:26,20-25,Student,Mancherial ,Rarely,Friends trip,"Beaches, Mountains","₹5,000–₹10,000",Any season,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat)",Train,5 days,"Itinerary planning, Booking hotels/flights, Budgeting",Weekends,3–5 days,,Friendly & fun,Yes,1-3,,3 – Moderately stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 15:16:33,20-25,Student,Khammam ,4 or more,Solo trip,Mountains,"₹5,000–₹10,000",Winter,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Booking hotels/flights, Budgeting",Weekends,3–5 days,,Detailed & informative,NO,3-6,,5 – Extremely stressful,"Europe - France, Italy, Germany, Switzerland",,,
7/24/2025 15:29:48,25-35,Employed (Working Professional),India,2-3 times,Solo trip,"Beaches, Mountains","₹5,000–₹10,000",Monsoon,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Bus,15 days,"Budgeting, Packing",Weekends,1–2 days,,Detailed & informative,Yes,1-3,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 15:30:55,25-35,Employed (Working Professional),"India, KHAMMAM ",2-3 times,Family vacation,Historical places,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Itinerary planning, Booking hotels/flights, Budgeting",School/College holidays or family vacations,1–2 days,,Friendly & fun,Yes,1-3,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 15:32:09,25-35,Self-Employed / Business Owner,"India, hyderabad ",Once in a year,Family vacation,Historical places,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,5 days,"Itinerary planning, Booking hotels/flights, Budgeting",School/College holidays or family vacations,1–2 days,,Friendly & fun,Yes,1-3,,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 15:33:18,25-35,Employed (Working Professional),"Hyd, India",2-3 times,Friends trip,"Beaches, Mountains, Historical places, Wildlife/Nature","₹10,000–₹30,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Flight,5 days,Booking hotels/flights,Business or work-related trips,1–2 days,,Friendly & fun,Yes,1-3,,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 15:34:32,20-25,Unemployed / Not Currently Working,Hyderabad ,2-3 times,Solo trip,"Beaches, Mountains, Historical places, Wildlife/Nature","₹5,000–₹10,000",Any season,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh), West India (e.g., Rajasthan, Goa, Maharashtra, Gujarat), East/Northeast India (e.g., Assam, Sikkim, Meghalaya, Odisha)",Train,5 days,"Itinerary planning, Budgeting, Language barrier",Weekends,3–5 days,,Friendly & fun,May be,3-6,,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 16:54:18,25-35,Employed (Working Professional),,4 or more,Friends trip,Wildlife/Nature,"₹5,000–₹10,000",Monsoon,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Car,5 days,Budgeting,During festivals or long weekends,1–2 days,,Short & clear,Yes,1-3,Nothing ,4 – Very stressful,Kerala ,,,
7/24/2025 18:01:52,20-25,Student,,Rarely,Friends trip,"Beaches, Mountains, Historical places, Wildlife/Nature","₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Car,15 days,"Booking hotels/flights, Budgeting, Language barrier",Weekends,3–5 days,,Friendly & fun,May be,1-3,,2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 18:07:54,20-25,Student,Khammam ,Rarely,Friends trip,Historical places,"₹5,000–₹10,000",Any season,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Car,15 days,Language barrier,During festivals or long weekends,3–5 days,,Friendly & fun,NO,1-3,Food and bed ,1 – Not stressful at all,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 18:41:44,25-35,Unemployed / Not Currently Working,khammam,Rarely,Friends trip,"Mountains, Wildlife/Nature","₹5,000–₹10,000",Any season,"North India (e.g., Himachal, Kashmir, Uttarakhand, Delhi), South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,15 days,"Itinerary planning, Booking hotels/flights, Budgeting",During festivals or long weekends,3–5 days,,Detailed & informative,Yes,6-10,,2 – Slightly stressful,with in india,,,
7/24/2025 18:50:24,20-25,Student,Khammam ,Rarely,Friends trip,Wildlife/Nature,"₹10,000–₹30,000",Winter,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,15 days,"Packing, Language barrier",School/College holidays or family vacations,10+ days,,Friendly & fun,Yes,1-3,Good ,1 – Not stressful at all,N,,,
7/24/2025 19:14:24,35+,Employed (Working Professional),Khammam/ India,2-3 times,Family vacation,Wildlife/Nature,"₹10,000–₹30,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Train,30 days,Budgeting,School/College holidays or family vacations,3–5 days,,Formal,May be,1-3,"Local transport help, native food, emergency services and security",2 – Slightly stressful,"Asia- Japan, India, Thailand, indonesia",,,
7/24/2025 19:26:37,20-25,Student,"Warangal ,mamnoor",Rarely,Solo trip,Beaches,"₹5,000–₹10,000",Summer,"South India (e.g., Kerala, Tamil Nadu, Karnataka, Andhra Pradesh)",Bus,15 days,"Booking hotels/flights, Budgeting, Packing",School/College holidays or family vacations,1–2 days,,Friendly & fun,May be,1-3,Destinations popular places that should be visit,1 – Not stressful at all,"North America- United States, Canada, Mexico",,,
